starttime	seconds	ctime	dtime	ttime	wait
Sat Jul 14 09:20:29 2012	1342237829	0	6	6	6
Sat Jul 14 09:19:22 2012	1342237762	0	6	6	6
Sat Jul 14 09:17:14 2012	1342237634	0	6	6	6
Sat Jul 14 09:19:40 2012	1342237780	0	6	6	6
Sat Jul 14 09:20:29 2012	1342237829	0	6	6	6
Sat Jul 14 09:19:13 2012	1342237753	0	6	6	6
Sat Jul 14 09:18:34 2012	1342237714	0	6	6	6
Sat Jul 14 09:20:17 2012	1342237817	0	6	6	6
Sat Jul 14 09:21:03 2012	1342237863	0	6	6	6
Sat Jul 14 09:21:55 2012	1342237915	0	6	6	6
Sat Jul 14 09:20:34 2012	1342237834	0	6	6	6
Sat Jul 14 09:21:51 2012	1342237911	0	6	6	6
Sat Jul 14 09:22:31 2012	1342237951	0	6	6	6
Sat Jul 14 09:20:25 2012	1342237825	0	6	6	6
Sat Jul 14 09:22:14 2012	1342237934	0	6	6	6
Sat Jul 14 09:20:20 2012	1342237820	0	6	6	6
Sat Jul 14 09:20:38 2012	1342237838	0	6	6	6
Sat Jul 14 09:22:20 2012	1342237940	0	6	6	6
Sat Jul 14 09:20:36 2012	1342237836	0	6	6	6
Sat Jul 14 09:22:05 2012	1342237925	0	6	6	6
Sat Jul 14 09:17:31 2012	1342237651	0	6	6	6
Sat Jul 14 09:18:21 2012	1342237701	0	6	6	6
Sat Jul 14 09:20:29 2012	1342237829	0	6	6	6
Sat Jul 14 09:20:38 2012	1342237838	0	6	6	6
Sat Jul 14 09:16:42 2012	1342237602	0	6	6	6
Sat Jul 14 09:19:01 2012	1342237741	0	6	6	6
Sat Jul 14 09:22:04 2012	1342237924	0	6	6	6
Sat Jul 14 09:21:45 2012	1342237905	0	6	6	6
Sat Jul 14 09:18:46 2012	1342237726	0	6	6	6
Sat Jul 14 09:20:38 2012	1342237838	0	6	6	6
Sat Jul 14 09:18:35 2012	1342237715	0	6	6	6
Sat Jul 14 09:16:44 2012	1342237604	0	6	6	6
Sat Jul 14 09:21:10 2012	1342237870	0	6	6	6
Sat Jul 14 09:18:57 2012	1342237737	0	6	6	6
Sat Jul 14 09:21:47 2012	1342237907	0	6	6	6
Sat Jul 14 09:18:21 2012	1342237701	0	6	6	6
Sat Jul 14 09:18:43 2012	1342237723	0	6	6	6
Sat Jul 14 09:22:07 2012	1342237927	0	6	6	6
Sat Jul 14 09:18:36 2012	1342237716	0	6	6	6
Sat Jul 14 09:21:33 2012	1342237893	0	6	6	6
Sat Jul 14 09:18:43 2012	1342237723	0	6	6	6
Sat Jul 14 09:21:18 2012	1342237878	0	6	6	6
Sat Jul 14 09:20:23 2012	1342237823	0	6	6	6
Sat Jul 14 09:18:40 2012	1342237720	0	6	6	6
Sat Jul 14 09:18:38 2012	1342237718	0	6	6	6
Sat Jul 14 09:20:34 2012	1342237834	0	6	6	6
Sat Jul 14 09:20:33 2012	1342237833	0	6	6	6
Sat Jul 14 09:21:59 2012	1342237919	0	6	6	6
Sat Jul 14 09:20:21 2012	1342237821	0	6	6	6
Sat Jul 14 09:20:17 2012	1342237817	0	6	6	6
Sat Jul 14 09:16:47 2012	1342237607	0	6	6	6
Sat Jul 14 09:16:45 2012	1342237605	0	6	6	6
Sat Jul 14 09:21:20 2012	1342237880	0	6	6	6
Sat Jul 14 09:22:35 2012	1342237955	0	6	6	6
Sat Jul 14 09:18:36 2012	1342237716	0	6	6	6
Sat Jul 14 09:20:32 2012	1342237832	0	6	6	6
Sat Jul 14 09:21:58 2012	1342237918	0	6	6	6
Sat Jul 14 09:19:09 2012	1342237749	0	6	6	6
Sat Jul 14 09:18:43 2012	1342237723	0	6	6	6
Sat Jul 14 09:18:42 2012	1342237722	0	6	6	6
Sat Jul 14 09:22:07 2012	1342237927	0	6	6	6
Sat Jul 14 09:20:30 2012	1342237830	0	6	6	6
Sat Jul 14 09:20:20 2012	1342237820	0	6	6	6
Sat Jul 14 09:19:58 2012	1342237798	0	6	6	6
Sat Jul 14 09:21:13 2012	1342237873	0	6	6	6
Sat Jul 14 09:22:35 2012	1342237955	0	6	6	6
Sat Jul 14 09:17:56 2012	1342237676	0	6	6	6
Sat Jul 14 09:18:51 2012	1342237731	0	6	6	6
Sat Jul 14 09:22:00 2012	1342237920	0	6	6	6
Sat Jul 14 09:20:32 2012	1342237832	0	6	6	6
Sat Jul 14 09:17:45 2012	1342237665	0	6	6	6
Sat Jul 14 09:19:29 2012	1342237769	0	6	6	6
Sat Jul 14 09:21:02 2012	1342237862	0	6	6	6
Sat Jul 14 09:21:59 2012	1342237919	0	6	6	6
Sat Jul 14 09:22:17 2012	1342237937	0	6	6	6
Sat Jul 14 09:20:31 2012	1342237831	0	6	6	6
Sat Jul 14 09:19:22 2012	1342237762	0	6	6	6
Sat Jul 14 09:20:22 2012	1342237822	0	6	6	6
Sat Jul 14 09:22:01 2012	1342237921	0	6	6	6
Sat Jul 14 09:20:31 2012	1342237831	0	6	6	6
Sat Jul 14 09:19:59 2012	1342237799	0	6	6	6
Sat Jul 14 09:21:45 2012	1342237905	0	6	6	6
Sat Jul 14 09:18:53 2012	1342237733	0	6	6	6
Sat Jul 14 09:20:34 2012	1342237834	0	6	6	6
Sat Jul 14 09:21:50 2012	1342237910	0	6	6	6
Sat Jul 14 09:20:53 2012	1342237853	0	6	6	6
Sat Jul 14 09:19:01 2012	1342237741	0	6	6	6
Sat Jul 14 09:18:32 2012	1342237712	0	6	6	6
Sat Jul 14 09:20:30 2012	1342237830	0	6	6	6
Sat Jul 14 09:18:42 2012	1342237722	0	6	6	6
Sat Jul 14 09:17:12 2012	1342237632	0	6	6	6
Sat Jul 14 09:19:34 2012	1342237774	0	6	6	6
Sat Jul 14 09:18:38 2012	1342237718	0	6	6	6
